event;id
2025-11-06 14:30:33 — Пользователь с именем: Alice, ролью: ROLE_USER и eMail: alice@example.com зарегистрирован;2ff5
2025-11-06 14:30:33 — Пользователь с именем: Bob, ролью: ROLE_ADMIN и eMail: bob@test.org зарегистрирован;f203
Оформил бронирование отелей   2025-11-06 14:30:33 — Пользователь с id = 9027, дата заезда: 2025-11-07, дата выезда: 2025-11-19, номер комнаты: 996;01d4
2025-11-06 14:30:33 — Пользователь с именем: Charlie, ролью: ROLE_MANAGER и eMail: charlie@demo.net зарегистрирован;aa55
Оформил бронирование отелей   2025-11-06 14:30:33 — Пользователь с id = 2872, дата заезда: 2025-11-13, дата выезда: 2025-11-24, номер комнаты: 724;6f43
Оформил бронирование отелей   2025-11-06 14:30:33 — Пользователь с id = 6937, дата заезда: 2025-11-20, дата выезда: 2025-11-27, номер комнаты: 153;fc54
2025-11-06 14:33:12 — Пользователь с именем: Alice, ролью: ROLE_USER и eMail: alice@example.com зарегистрирован;cc3a
Оформил бронирование отелей   2025-11-06 14:33:12 — Пользователь с id = 4512, дата заезда: 2025-11-13, дата выезда: 2025-11-21, номер комнаты: 883;a471
Оформил бронирование отелей   2025-11-06 14:33:12 — Пользователь с id = 3229, дата заезда: 2025-11-30, дата выезда: 2025-12-07, номер комнаты: 154;7591
2025-11-06 14:33:12 — Пользователь с именем: Bob, ролью: ROLE_ADMIN и eMail: bob@test.org зарегистрирован;a733
Оформил бронирование отелей   2025-11-06 14:33:12 — Пользователь с id = 3469, дата заезда: 2025-11-26, дата выезда: 2025-12-04, номер комнаты: 209;2ef0
2025-11-06 14:33:12 — Пользователь с именем: Charlie, ролью: ROLE_MANAGER и eMail: charlie@demo.net зарегистрирован;8074
2025-11-06 14:41:41 — Пользователь с именем: ВашеИмяПользователя2, ролью: [Role(id=3, authority=ROLE_ADMIN)] и eMail: ВашEmail@example.com зарегистрирован;fc12
